year,chm_name,chm_path,variant_id,source_root,relative_parent,mean_f1,mean_auc,mean_precision,mean_recall,mean_accuracy,n_models
2018,436646_2018_madal_delta_vs_original_median_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2018_madal_delta_vs_original_median_all_all_20cm.tif,madal_delta_vs_original_median_all_all_20cm,lamapuit,cdw_experiments_436646/median_all,0.22109270040304524,0.9222291407222913,0.4783549783549784,0.14545454545454545,0.9286624203821656,5
2020,436646_2020_madal_exp_return_chm13_median_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2020_madal_exp_return_chm13_median_all_last2_20cm.tif,madal_exp_return_chm13_median_all_last2_20cm,lamapuit,cdw_experiments_436646/median_all,0.22055175410014122,0.9022607331336472,0.7067432567432567,0.13658536585365852,0.819811320754717,5
2024,436646_2024_madal_exp_intensity_04_13_median_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2024_madal_exp_intensity_04_13_median_all_last2_20cm.tif,madal_exp_intensity_04_13_median_all_last2_20cm,lamapuit,cdw_experiments_436646/median_all,0.21763833992094864,0.8768234492160871,0.37857142857142856,0.16666666666666669,0.9049723756906077,5
2024,436646_2024_madal_exp_density_00_13_median_ground_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_ground/436646_2024_madal_exp_density_00_13_median_ground_all_20cm.tif,madal_exp_density_00_13_median_ground_all_20cm,lamapuit,cdw_experiments_436646/median_ground,0.21624026696329257,0.9103612815269256,0.27692307692307694,0.17777777777777778,0.9093922651933702,5
2024,436646_2024_madal_exp_density_00_13_median_ground_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_ground/436646_2024_madal_exp_density_00_13_median_ground_last2_20cm.tif,madal_exp_density_00_13_median_ground_last2_20cm,lamapuit,cdw_experiments_436646/median_ground,0.21624026696329257,0.9103612815269256,0.27692307692307694,0.17777777777777778,0.9093922651933702,5
2020,436646_2020_madal_exp_split_rgb_lowest_ground_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2020_madal_exp_split_rgb_lowest_ground_all_20cm.tif,madal_exp_split_rgb_lowest_ground_all_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.21588368627753657,0.9577521038368279,1.0,0.12926829268292683,0.8316037735849056,5
2020,436646_2020_madal_exp_split_rgb_lowest_ground_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2020_madal_exp_split_rgb_lowest_ground_last2_20cm.tif,madal_exp_split_rgb_lowest_ground_last2_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.21588368627753657,0.9577521038368279,1.0,0.12926829268292683,0.8316037735849056,5
2020,436646_2020_madal_exp_split_rgb_lowest_ground_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2020_madal_exp_split_rgb_lowest_ground_last_20cm.tif,madal_exp_split_rgb_lowest_ground_last_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.21588368627753657,0.9576379974326059,1.0,0.12926829268292683,0.8316037735849056,5
2018,436646_2018_madal_chm_max_hag_20cm.tif,/workspace/data/lamapuit/chm_max_hag_13/436646_2018_madal_chm_max_hag_20cm.tif,madal_chm_max_hag_20cm,lamapuit,chm_max_hag_13,0.21525054466230936,0.9945828144458282,0.4,0.15454545454545454,0.9407643312101911,5
2018,436646_2018_madal_exp_intensity_04_13_median_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2018_madal_exp_intensity_04_13_median_all_last2_20cm.tif,madal_exp_intensity_04_13_median_all_last2_20cm,lamapuit,cdw_experiments_436646/median_all,0.20904761904761907,0.9308219178082192,0.39,0.16363636363636364,0.9267515923566879,5
